"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Lygodium Protolygodium","Unranked","[Genus] Lygodium","Debey M. H. von Ettingshausen C. ","Die urweltlichen Acrobryen des Kreidegebirges von Aachen und Maastricht [1859/9]",NA,NA,"17",NA,"200","1859",NA,"foliage","A5695A23-C49F-444B-DD59-36B6BB0B1CD8",NA,"Denkschriften der Kaiserlichen Akademie der Wissenschaften Wien",NA,"Abtheilung 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lygodium Tuberculatum","Subgenus","[Genus] Lygodium","Ivanova E. A. Markova L. G. ","Semejstvo Schizaeaceae [1961/10]",NA,NA,NA,NA,"95","1961",NA,"sporae dispersae","91CC589E-7834-CEB7-22D1-D60B9E5D46A3","Ivanova E. A. ","Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"177","Lygodium ornatum",NA,"Tuberculata",NA,NA,NA,NA,NA,NA
"Medullosa Colpoxylon","Subgenus","[Genus] Medullosa","Potonié H. ","Cycadofilices [1902/2]","Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV",NA,"788","1902",NA,NA,"9F144DF1-1764-4E7D-9AE0-5DFBB477E883",NA,NA,NA,NA,NA,"[Genus] Colpoxylon",NA,NA,"Teil I",NA,NA,NA,NA
"Metasequoia Metasequoiella","Section","[Genus] Metasequoia","Dorofeev P. I. ","Tretichnye flory bassejna r. Omoloja [1972/12]","Vassilczenko I. T. ","Istorija flory i rastitel'nosti Evrazii",NA,NA,"70","1972","[Genus] Metasequoia","cones","E3114F21-47FC-4179-9EC0-B852DE6EF50B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreauia Pachyphyllum","Section","[Genus] Moreauia","Pomel A. N. ","Matériaux pour servir à la flore fossile des terrains jurassiques de la France [1849/12]",NA,NA,"25",NA,"351","1849","[Genus] Moreauia","foliage","23ABADB1-F59E-80CD-9826-A7DB45F09F12",NA,"Amtlicher Bericht über die Versammlung Deutscher Naturforscher und Ärzte (Aerzte)","1847",NA,"Moreauia brevifolia",NA,NA,NA,NA,NA,"Seward, Cat. Mesoz. Pl. Dept. Geol. Brit. Mus. (Nat. Hist.), [2](2): 211. Dec 1895",NA,NA
"Muensteria Eumuensteria","Subgenus","[Genus] Muensteria","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter [1858/8]","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter",NA,NA,"36","1858",NA,"thallus (calcareous)","3C0D12AA-DFED-8A9C-C94E-39406DB2BEE6",NA,NA,NA,NA,"Muensteria clavata",NA,"Eumünsteria",NA,NA,NA,NA,NA,NA
"Muensteria Hydrancylus","Subgenus","[Genus] Muensteria","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter [1858/8]","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter",NA,NA,"39","1858",NA,"thallus (calcareous)","40400411-2445-A39E-3D7A-0C56BC9F87E1",NA,NA,NA,NA,"Muensteria geniculata",NA,"Münsteria",NA,NA,NA,NA,NA,NA
"Muensteria Keckia","Subgenus","[Genus] Muensteria","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter [1858/8]","von Fischer-Ooster K. ","Die fossilen Fucoiden der Schweizer-Alpen, nebst Erörterungen über deren geologisches Alter",NA,NA,"37","1858",NA,NA,"A0E51E79-903F-006E-87FE-F80B3400DD51",NA,NA,NA,NA,NA,"[Genus] Keckia",NA,NA,NA,NA,NA,NA,NA
"Muscites Hypnites","Unranked","[Genus] Muscites","Endlicher S. L. ","Genera plantarum [1836/8]","Endlicher S. L. ","Genera plantarum",NA,"1","58","1836","[Genus] Muscites","leafy twigs","CB6B0683-837F-03D6-B169-ACDF3C572E9C",NA,NA,NA,NA,"Muscites tournalii",NA,NA,NA,NA,NA,NA,NA,NA
"Muscites Sphagnites","Unranked","[Genus] Muscites","Endlicher S. L. ","Genera plantarum [1836/8]","Endlicher S. L. ","Genera plantarum",NA,"1","58","1836","[Genus] Muscites","leafy twigs","CC53A33F-8F6F-3E30-3F3D-13C40DEB6C85",NA,NA,NA,NA,"Muscites squamatus",NA,NA,NA,NA,NA,NA,NA,NA
"Myrica Sotzkia","Subgenus","[Genus] Myrica","Zhilin S. G. ","Zametki po sistematike iskopaemykh rastenij. Myricaceae [Notes on the systematics of fossil plants. Myricaceae] [1980/9]","Zhilin S. G. ","Sistematika i evoljutsija vysshikh rastenij",NA,NA,"15","1980","[Genus] Myrica","leaves","0D1C6288-B5B2-41F1-ACD0-7167E82F9700",NA,NA,NA,NA,"Myrica longifolia",NA,NA,NA,NA,NA,NA,NA,NA
"Neomeris Acutopora","Subgenus","[Genus] Neomeris","Maslov V. P. Jarzewa M. V. ","Mutovchasti sifonei (Dasycladiaceae) z vidkladiv paleotsenu Ukrayins'koho shchyta [1969/11]",NA,NA,"26",NA,"32","1969","[Genus] Neomeris","thallus (calcareous)","14C569CB-F6EB-4D7B-A3CE-8DF753544B37","Maslov V. P. ","Ukrayins’kyi botanichnyi zhurnal",NA,"5","Neomeris aciculata",NA,NA,NA,NA,NA,NA,NA,NA
"Neomeris Decaisnella","Section","[Genus] Neomeris","Steinmann G. ","Ueber fossile Dasycladaceen vom Cerro Escamela, Mexico [1899/8]",NA,NA,"57",NA,"152","1899","[Genus] Neomeris","thallus (calcareous)","2B2B47D1-932B-4838-A3DB-8F967F1FDDD8","Munier-Chalmas E. ","Botanische Zeitung, 1 Abt.","Abtheilung 1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomeris Herouvalina","Section","[Genus] Neomeris","Steinmann G. ","Ueber fossile Dasycladaceen vom Cerro Escamela, Mexico [1899/8]",NA,NA,"57",NA,"152","1899","[Genus] Neomeris","thallus (calcareous)","61D12900-EF57-472E-A380-996DFA222D91","Munier-Chalmas E. ","Botanische Zeitung, 1 Abt.","Abtheilung 1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nephropsis Sulcinephropsis","Subgenus","[Genus] Nephropsis","Zimina V. G. ","O Nephropsis iz permskikh otlozhenij Juzhnogo Primor'ja [On Nephropsis from the Permian sediments of Southern Primorye] [1970/7]","Krassilov V. A. Gramm M. N. ","Iskopaemaja fauna i flora Dal'nego Vostoka","1",NA,"83","1970","[Genus] Nephropsis","foliage","19B68D1E-A5AC-4F66-92F7-01833B0CDBBC",NA,NA,NA,NA,"Nephropsis pospeloviensis",NA,NA,NA,"1969",NA,NA,NA,NA
"Neuropteris Euneuropteris","Subgenus","[Genus] Neuropteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"432","1869",NA,"foliage","40F1E89F-21FD-CAFD-988B-A90E39A9A7A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neuropteris Megalopteris","Subgenus","[Genus] Neuropteris","Dawson J. W. ","Fossil Plants of the Devonian and Upper Silurian formations of Canada [1871/12]","Dawson J. W. ","Fossil Plants of the Devonian and Upper Silurian formations of Canada",NA,NA,"51","1871","[Genus] Neuropteris","foliage","D127F465-AEEE-47BA-8572-2326D107E19C",NA,NA,NA,NA,"Neuropteris dawsonii",NA,NA,NA,NA,NA,NA,NA,NA
"Neuropteris Neuropteridium","Subgenus","[Genus] Neuropteris","Schimper W. Mougeot A. ","Monographie des plantes fossiles du grès bigarré de la chaine des Vosges [1844/9]","Schimper W. Mougeot A. ","Monographie des plantes fossiles du grès bigarré de la chaine des Vosges",NA,"3","77","1844","[Genus] Neuropteris","foliage","33DFD869-4939-4107-A510-FBE7E1921BCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nilssonia Hisingera","Unranked","[Genus] Nilssonia","Miquel F. A. W. ","Over de rangschikking der fossiele Cycadeae [1851/6-12]",NA,NA,"4",NA,"213","1851",NA,NA,"D3586B52-9832-635D-B93D-76B5B695A049",NA,"Tijdschrift voor de wis- en natuurkundige wetenschappen",NA,"3",NA,"[Genus] Hisingera",NA,NA,NA,NA,NA,NA,NA
"Nilssonia Planinilssonia","Subgenus","[Genus] Nilssonia","Sadovnikov G. N. ","Rody Taeniopteris, Nilssoniopteris i Nilssonia v pozdnetriasovoj flore Irana [1989/9]",NA,NA,NA,NA,"99","1989","[Genus] Nilssonia","foliage","C08B37FF-5985-44A2-9AF6-E7C074C20689",NA,"Paleontologicheskii Zhurnal","1989","3","Nilssonia polymorpha",NA,NA,NA,NA,NA,NA,NA,NA
"Nilssoniopteris Sibiriophyllum","Subgenus","[Genus] Nilssoniopteris","Samylina V. A. ","Novye tsikadofity iz mezozojskikh otlozhenij r. Aldana [New cycadophytes from the Mesozoic sediments of Aldan river] [1956/11]",NA,NA,"41",NA,"1336","1956","[Genus] Nilssoniopteris","foliage","86E3408A-2F44-4065-A66F-9DBB2E85A19C",NA,"Botanicheskii Zhurnal",NA,"9","Nilssoniopteris californica",NA,NA,NA,NA,NA,"Samyl., Trudy Bot. Inst. Akad. Nauk SSSR, Ser. 8, Paleobot., (4): 90. 12 Feb 1963",NA,NA
"Nitellopsis Microstomella","Subgenus","[Genus] Nitellopsis","Castel M. ","Étude floristique et biostratigraphique des Charophytes dans les séries du Paléogène de Provence [1977/11]",NA,NA,"4",NA,"117","1977","[Genus] Nitellopsis","gyrogonites","2FDCDE24-42AA-45A5-9BA1-9F5ACAE65729",NA,"Géologie méditerranéenne",NA,"2","Nitellopsis aptensis",NA,NA,NA,NA,NA,NA,NA,NA
"Nudospermopteris Nudospermopteris","Subgenus","[Genus] Nudospermopteris","Doweld A. B. ","Re-classification of the Carboniferous genus Eusphenopteris (Lyginopteridaceae / Lagenostomataceae – Lyginopteridophyta) [2003/6]",NA,NA,"88",NA,"105","2003","[Genus] Nudospermopteris","foliage","8F63B951-C37D-458A-B8C9-BA2582A75681",NA,"Botanicheskii Zhurnal",NA,"6","Nudospermopteris striata",NA,NA,NA,NA,NA,NA,NA,"Pinnules variously rounded, never ventrally sulcate"
"Nudospermopteris Pseudonudospermopteris","Subgenus","[Genus] Nudospermopteris","Doweld A. B. ","Re-classification of the Carboniferous genus Eusphenopteris (Lyginopteridaceae / Lagenostomataceae – Lyginopteridophyta) [2003/6]",NA,NA,"88",NA,"106","2003","[Genus] Nudospermopteris","foliage","4A002E47-D55F-402B-90A6-B67C5C8C73C5",NA,"Botanicheskii Zhurnal",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"Pinnules ventrally sulcate."
"Nuphar Nupharella","Section","[Genus] Nuphar","Dorofeev P. I. ","Nymphaeaceae [1975/3]","Takhtajan A. L. ","Iskopaemye tsvetkovye rastenija SSSR","1",NA,"74","1975","[Genus] Nuphar","seeds","826A64D3-B091-47B9-91DA-1FC7FBB97911",NA,NA,NA,NA,"Nuphar canaliculata",NA,NA,NA,"1974",NA,NA,NA,NA
"Odontopteris Anotopteris","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Studien über Odontopteriden [1870/10-11]",NA,NA,"22",NA,"859","1870",NA,NA,"1E49CFA8-FB44-4964-0D2A-145A5BEAF7EE",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"4",NA,"[Genus] Anotopteris",NA,NA,NA,NA,NA,NA,NA
"Odontopteris Callipterides","Section","[Genus] Odontopteris","Weiss C. E. ","Studien über Odontopteriden [1870/10-11]",NA,NA,"22",NA,"859","1870","[Genus] Odontopteris","foliage","8F955C61-8EC9-1864-902A-44DB11790A13",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontopteris Callipteridium","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Studien über Odontopteriden [1870/10-11]",NA,NA,"22",NA,"859","1870","[Genus] Odontopteris","foliage","0346D086-FAB7-759D-5877-68D196A17B50",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontopteris Callipteris","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete [1869/10]","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete",NA,"1","43","1869","[Genus] Odontopteris","foliage","BCAA13D0-39DF-C70A-CCBF-B6B3DC6E3F8A",NA,NA,NA,NA,"Callipteris conferta",NA,NA,NA,NA,NA,NA,NA,NA
"Odontopteris Lescuropteris","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Studien über Odontopteriden [1870/10-11]",NA,NA,"22",NA,"859","1870",NA,NA,"2586C7F6-611E-2EF6-2E99-43BF2B1F90EA",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"4",NA,"[Genus] Lescuropteris",NA,NA,NA,NA,NA,NA,NA
"Odontopteris Mixoneura","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete [1869/10]","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete",NA,"1","36","1869","[Genus] Odontopteris","foliage","9CB378E2-15A0-4F84-9AD0-FAE2DA8A3CB5",NA,NA,NA,NA,"Odontopteris obtusa",NA,NA,NA,NA,NA,NA,NA,NA
"Odontopteris Xenopterides","Section","[Genus] Odontopteris","Weiss C. E. ","Studien über Odontopteriden [1870/10-11]",NA,NA,"22",NA,"859","1870","[Genus] Odontopteris","foliage","B58D3878-76BD-7AD8-558D-B9CE3C90BFD6",NA,"Zeitschrift der Deutschen Geologischen Gesellschaft",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontopteris Xenopteris","Subgenus","[Genus] Odontopteris","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete [1869/10]","Weiss C. E. ","Fossile Flora der jüngsten Steinkohlenformation und des Rothliegenden im Saar-Rhein-Gebiete",NA,"1","31","1869","[Genus] Odontopteris","foliage","5375EEA9-1885-4CD9-9CC5-CE074145F55A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otozamites Cyclozamites","Subgenus","[Genus] Otozamites","Schimper W. ","Traité de Paléontologie Végétale [1870/6]","Schimper W. ","Traité de Paléontologie Végétale","2","1","174","1870",NA,"foliage","24940734-A631-5754-97FB-9CDE6E502A96","Pomel A. N. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otozamites Rhombozamites","Subgenus","[Genus] Otozamites","Schimper W. ","Traité de Paléontologie Végétale [1870/6]","Schimper W. ","Traité de Paléontologie Végétale","2","1","175","1870",NA,"foliage","6D240E14-FF2F-1AEA-6619-48A2BD22A6D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otozamites Sphenozamites","Section","[Genus] Otozamites","Brongniart A. T. ","Végétaux fossiles [1849/7]","d'Orbigny A. ","Dictionnaire Universel d'histoire naturelle","13",NA,"210","1849","[Genus] Otozamites","foliage","8603E92C-C0C5-CC25-A524-E1D58B65515F",NA,NA,NA,NA,"Cyclopteris beanii",NA,NA,NA,NA,NA,NA,NA,NA
"p-Neuropteris Neuralethopteris","Subgenus","[Genus] p-Neuropteris","Potonié H. ","Über die fossilen Filicales im Allgemeinen und die Reste derselben zweifelhafter Verwandtschaft [1900/10]","Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV","204","500","1900",NA,NA,"4051B2D9-0FA4-386E-850F-73C4E1E8A33D",NA,NA,NA,NA,NA,"[Genus] Neuralethopteris",NA,NA,"Teil I",NA,NA,NA,NA
"p-Neuropteris Neurodontopteris","Subgenus","[Genus] p-Neuropteris","Potonié H. ","Über die fossilen Filicales im Allgemeinen und die Reste derselben zweifelhafter Verwandtschaft [1900/10]","Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV","204","500","1900",NA,NA,"050A6B6F-33DA-CB6E-1AAE-86F39E126EB8",NA,NA,NA,NA,NA,"[Genus] Neurodontopteris",NA,NA,"Teil I",NA,NA,NA,NA
"Palaeocarya Monocosta","Section","[Genus] Palaeocarya","Manchester S. R. ","The fossil history of the Juglandaceae [1987/8]",NA,NA,"21",NA,"56","1987",NA,"fruits","849DB78B-4BCA-E9C2-0722-A4B260C39FB4",NA,"Monographs in systematic botany from the Missouri Botanical Garden",NA,NA,"Palaeocarya mississippiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Palaeozamia Otozamites","Section","[Genus] Palaeozamia","Oldham T. Morris J. E. ","The fossil flora of the Rajmahal series, Rajmahal Hills, Bengal [1862/5]",NA,NA,"1",NA,"27","1862","[Genus] Palaeozamia",NA,"0A8396B5-B5B2-B5BB-F081-5D8E825D5199",NA,"Palaeontologia Indica","Series 2","3",NA,"[Genus] Otozamites",NA,NA,NA,NA,NA,NA,NA
"Palaeozamia Ptilophyllum","Section","[Genus] Palaeozamia","Oldham T. Morris J. E. ","The fossil flora of the Rajmahal series, Rajmahal Hills, Bengal [1862/5]",NA,NA,"1",NA,"27","1862","[Genus] Palaeozamia","foliage","4AB53820-EECC-98DB-948B-01267E29C0AB",NA,"Palaeontologia Indica","Series 2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palaeozamia Sphenozamites","Section","[Genus] Palaeozamia","Oldham T. Morris J. E. ","The fossil flora of the Rajmahal series, Rajmahal Hills, Bengal [1862/5]",NA,NA,"1",NA,"27","1862","[Genus] Palaeozamia",NA,"0B535FD4-1736-A111-B5A2-1E7896284847",NA,"Palaeontologia Indica","Series 2","3",NA,NA,NA,"Otozamites [Section] Sphenozamites",NA,NA,NA,NA,NA
"Palmacites Calymmatoxylon","Subgenus","[Genus] Palmacites","Corda A. K. ","Beiträge zur Flora der Vorwelt [1845/10]","Corda A. K. ","Beiträge zur Flora der Vorwelt",NA,NA,"43","1845","[Genus] Palmacites","stems (wood)","9D7E38E1-606B-4C72-93C4-E8DC93EE287E",NA,NA,NA,NA,"Palmacites intricatus",NA,NA,NA,NA,NA,NA,NA,NA
"Palmacites Fasciculites","Unranked","[Genus] Palmacites","von Heer O. ","Flora tertiaria Helvetiae [1855/6]","von Heer O. ","Flora tertiaria Helvetiae","1","3","94","1855",NA,NA,"FAA2554E-D7E0-4275-9E97-A03DAC2F256D",NA,NA,NA,NA,NA,"[Genus] Fasciculites",NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Antiguensia","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"151","1904",NA,"stems (wood)","D144E905-FC9E-4769-B1BB-9C01204A7175",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4","Palmoxylon antiguense",NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Complanata","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"184","1904",NA,"stems","6C3B0B07-9C1E-45B9-8600-0CD8C9E30B72",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Cordata","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"165","1904",NA,"stems (wood)","ECD49238-888C-489D-9788-7974CD4F007B",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Lunaria","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"231","1904",NA,"stems (wood)","DD02B45B-587C-4A7E-8819-E858A0A724D0",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Reniformia","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"215","1904",NA,"stems (wood)","12AB3F51-6B4D-43B3-9ED9-EDD185BD75AC",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Sagittata","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"171","1904",NA,"stems (wood)","6EBE5679-F4BE-4468-95C1-DCF4D3E33C76",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmoxylon Vaginata","Unranked","[Genus] Palmoxylon","Stenzel K. ","Fossile Palmenhölzer [1904/6]",NA,NA,"16",NA,"255","1904",NA,"stems (wood)","2494302C-4BE1-4837-B30A-5BDB6CB5AA02",NA,"Beiträge zur Paläontologie Österreich-Ungarns und des Orients",NA,"3-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Acrostichides","Unranked","[Genus] Pecopteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"527","1869","[Genus] Pecopteris","foliage","B8F46936-8677-71C6-2455-08652AD2CC6C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Aplophlebis","Subgenus","[Genus] Pecopteris","Brongniart A. T. ","Végétaux fossiles [1849/7]","d'Orbigny A. ","Dictionnaire Universel d'histoire naturelle","13",NA,"74","1849",NA,"foliage","48313E52-F802-3978-A6C0-37DEFFCCA058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Aspidides","Unranked","[Genus] Pecopteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"513","1869","[Genus] Pecopteris","foliage","ADDBF574-EB27-289E-CB81-3C1C09ABA604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Asplenides","Unranked","[Genus] Pecopteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"521","1869","[Genus] Pecopteris","foliage","84AAD67F-2CCD-FE34-DDEC-AD89F90202C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Campylopteris","Subgenus","[Genus] Pecopteris","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","158","1838","[Genus] Pecopteris","foliage","51971672-F198-DF52-311E-FF33E61CCB1B","Presl K. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Cyatheides","Unranked","[Genus] Pecopteris","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"499","1869","[Genus] Pecopteris",NA,"166B225A-BEFD-A0B1-F41E-C162585CCEC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Cyathoides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1834/2]","Brongniart A. T. ","Histoire des végétaux fossiles","1","9","293","1834","[Genus] Pecopteris","foliage","E2E0C003-1DF8-F52E-1B43-3D5CF977AB0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Dicrophlebis","Subgenus","[Genus] Pecopteris","Brongniart A. T. ","Végétaux fossiles [1849/7]","d'Orbigny A. ","Dictionnaire Universel d'histoire naturelle","13",NA,"74","1849",NA,"foliage","3B3202A1-BED0-FDFA-7201-A7C3AD88F4E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Diplazioides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1833/2]","Brongniart A. T. ","Histoire des végétaux fossiles","1","7","273, 272","1833","[Genus] Pecopteris","foliage","53FFA9EC-E498-D333-CBD2-2D69F43C6F19",NA,NA,NA,NA,"Pecopteris longifolia",NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Eupecopteris","Subgenus","[Genus] Pecopteris","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","146","1838","[Genus] Pecopteris","foliage","8381D31E-2930-8AE6-DF94-95C028E5955C","Presl K. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Goniopteridites","Section","[Genus] Pecopteris","Bunbury C. J. F., Sr ","On some remarkable fossil ferns from Frostburg, Maryland, collected by Mr. Lyell [1846/5]",NA,NA,"2",NA,"83","1846","[Genus] Pecopteris","foliage","CEFB78F7-743C-DE44-15A4-C7A324F6F367",NA,"Quarterly Journal of the Geological Society of London","Part 1","2=6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Neuropteroides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1834/2]","Brongniart A. T. ","Histoire des végétaux fossiles","1","9","320","1834","[Genus] Pecopteris","foliage","B928BAFC-AB87-7FDB-77B9-B67C3E7A34BD",NA,NA,NA,NA,"Pecopteris defrancei",NA,"Nevropteroides",NA,NA,NA,NA,NA,NA
"Pecopteris Orthopleuria","Subgenus","[Genus] Pecopteris","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","157","1838","[Genus] Pecopteris","foliage","7FE3B825-8C64-EE08-270D-C73A9F5DB1B8","Presl K. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Pteroides","Section","[Genus] Pecopteris","Brongniart A. T. ","Histoire des végétaux fossiles [1833/2]","Brongniart A. T. ","Histoire des végétaux fossiles","1","7","275, [272]","1833","[Genus] Pecopteris","foliage","D7D341C2-77D4-8E17-002E-FE9AE48FBACA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecopteris Sphenopecopteris","Subgenus","[Genus] Pecopteris","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","158","1838","[Genus] Pecopteris","foliage","DE9D1856-11D7-24A5-88E0-7955D3ABE772","Presl K. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
