"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Fucoides Fucites","Section","[Genus] Fucoides","Brongniart A. T. ","Histoire des végétaux fossiles [1828/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","1","52","1828","[Genus] Fucoides","thallus","779F9318-9A6A-4422-AAC5-69525EAD7C97",NA,NA,NA,NA,"Fucoides strictus",NA,NA,NA,NA,NA,NA,NA,NA
"Fucoides Gigartinites","Section","[Genus] Fucoides","Brongniart A. T. ","Histoire des végétaux fossiles [1828/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","1","56","1828","[Genus] Fucoides","thallus","813FD7BE-6402-4A86-93EB-E87AC52295FD",NA,NA,NA,NA,"Fucoides obtusus",NA,NA,NA,NA,NA,"H.N. Andrews, Bull. U.S. Geol. Surv., (1013): 161. 31 Jan 1955",NA,NA
"Fucoides Laminarites","Section","[Genus] Fucoides","Brongniart A. T. ","Histoire des végétaux fossiles [1828/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","1","54","1828","[Genus] Fucoides","thallus","452C2F9A-A997-440D-BF20-98473FEC3742",NA,NA,NA,NA,"Fucoides tuberculosus",NA,NA,NA,NA,NA,NA,NA,NA
"Fucoides Sargassites","Section","[Genus] Fucoides","Brongniart A. T. ","Histoire des végétaux fossiles [1828/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","1","50","1828","[Genus] Fucoides","thallus","B4AA34FA-46D6-4430-8731-355676E90A6A",NA,NA,NA,NA,"Fucoides septentrionalis",NA,NA,NA,NA,NA,"H.N. Andrews, Bull. U.S. Geol. Surv., (1013): 233. 31 Jan 1955",NA,NA
"Gleichenia Didymosorus","Subgenus","[Genus] Gleichenia","von Heer O. ","Die Kreide-Flora der arctischen Zone, gegrundet auf die von den schwedischen Expeditionen von 1870 und 1872 in Grönland und Spitzbergen gesammelten Pflanzen [1874/12]",NA,NA,"12",NA,"49","1874",NA,NA,"84E8B58A-6968-4375-9559-8E9BEEA90DA0",NA,"Kongliga Svenska Vetenskaps Academiens Handlingar","Neue Folge","6",NA,"[Genus] Didymosorus",NA,NA,NA,NA,NA,NA,NA
"Gleicheniidites Laticrassisporis","Subgenus","[Genus] Gleicheniidites","Krutzsch W. ","Mikropaläontologische (sporenpaläontologische) Untersuchungen in der Braunkohle des Geiseltales [1959/4]",NA,NA,NA,NA,"113","1959","[Genus] Gleicheniidites","sporae dispersae","105073DF-F043-F314-669F-499DD0EA418D",NA,"Beiheft zur Zeitschrift Geologie",NA,"21-22","Gleicheniidites rasilis",NA,NA,NA,NA,NA,NA,NA,NA
"Gleicheniidites Peregrinisporis","Subgenus","[Genus] Gleicheniidites","Krutzsch W. ","Mikropaläontologische (sporenpaläontologische) Untersuchungen in der Braunkohle des Geiseltales [1959/4]",NA,NA,NA,NA,"114","1959","[Genus] Gleicheniidites","sporae dispersae","3DD3CF85-624D-DF3A-6A4A-A2D75B42401A",NA,"Beiheft zur Zeitschrift Geologie",NA,"21-22","Gleicheniidites peregrinus",NA,NA,NA,NA,NA,NA,NA,NA
"Gleicheniidites Radiatisporis","Subgenus","[Genus] Gleicheniidites","Krutzsch W. ","Mikropaläontologische (sporenpaläontologische) Untersuchungen in der Braunkohle des Geiseltales [1959/4]",NA,NA,NA,NA,"114","1959","[Genus] Gleicheniidites","sporae dispersae","538B04AC-A91F-005A-4BF8-A033EBD1AD45",NA,"Beiheft zur Zeitschrift Geologie",NA,"21-22","Gleicheniidites radiatus",NA,NA,NA,NA,NA,NA,NA,NA
"Gleicheniidites Toridistalisporis","Subgenus","[Genus] Gleicheniidites","Krutzsch W. ","Mikropaläontologische (sporenpaläontologische) Untersuchungen in der Braunkohle des Geiseltales [1959/4]",NA,NA,NA,NA,"112","1959","[Genus] Gleicheniidites","sporae dispersae","EEA14A7A-56D4-F256-6BBE-DEDBA6149437",NA,"Beiheft zur Zeitschrift Geologie",NA,"21-22","Gleicheniidites toriconcavus",NA,NA,NA,NA,NA,NA,NA,NA
"Gleicheniidites Triplexisporis","Subgenus","[Genus] Gleicheniidites","Krutzsch W. ","Mikropaläontologische (sporenpaläontologische) Untersuchungen in der Braunkohle des Geiseltales [1959/4]",NA,NA,NA,NA,"114","1959","[Genus] Gleicheniidites","sporae dispersae","D20F3A29-8C84-52C1-4F02-4BF92727E0E2",NA,"Beiheft zur Zeitschrift Geologie",NA,"21-22","Gleicheniidites triplex",NA,NA,NA,NA,NA,NA,NA,NA
"Gleichenites Didymosorus","Section","[Genus] Gleichenites","Hirmer M. ","Pteridophyta [1927/11]","Hirmer M. ","Handbuch der Paläobotanik","1",NA,"624","1927",NA,NA,"3E1B035E-8901-88BE-0931-339B421783EC",NA,NA,NA,NA,NA,"[Genus] Didymosorus",NA,NA,NA,NA,NA,NA,NA
