"","Name","URL"
"52","Subgenus Avushia","http://ifpni.org/infragenus.htm?id=8E91DE47-5328-4C59-9209-6C4574EF72C6"
"53","Section Comptoniella","http://ifpni.org/infragenus.htm?id=20B60749-4E98-4713-8F6A-7575446022BB"
"54","Section Palaeocomptonia","http://ifpni.org/infragenus.htm?id=0F7C8564-FA47-471B-A048-C5E6CB3E5CC0"
"55","Section Exiguidae","http://ifpni.org/infragenus.htm?id=272F540A-10C5-4622-8B2C-B744FF4090AA"
"56","Subgenus Exiguidae","http://ifpni.org/infragenus.htm?id=DE049D47-361C-2F66-656B-0CA252002881"
"57","Section Hyalinoidae","http://ifpni.org/infragenus.htm?id=11B11A85-F3FA-45BA-A302-B750E21A9F7C"
"58","Subgenus Obtusisporis","http://ifpni.org/infragenus.htm?id=5D42391E-8E7F-4EB5-D9B1-E9F9C884E59B"
"59","Unranked Baccifer","http://ifpni.org/infragenus.htm?id=98B1BDE9-AE9E-451C-A39F-972B42589B85"
"60","Unranked Gemmifer","http://ifpni.org/infragenus.htm?id=4C4B5F69-EF7D-457B-9E7F-C060FF50A27D"
"61","Section Communes","http://ifpni.org/infragenus.htm?id=79B64254-F00D-4AE2-A1FB-6CBF475344AB"
"62","Section Costatae","http://ifpni.org/infragenus.htm?id=253B3614-8EBC-48A5-A647-75B5AE49157B"
"63","Section Grandifoliae","http://ifpni.org/infragenus.htm?id=8DEBDF99-4642-463A-87C2-B1046D4FD0E6"
"64","Subgenus Papillophyllites","http://ifpni.org/infragenus.htm?id=CE5754E3-3E0B-457E-858A-84264D9B7E1C"
"65","Unranked Pseudo-Cordaites","http://ifpni.org/infragenus.htm?id=5FAE73C3-07FC-4BF4-8229-74EFFF46C9B4"
"66","Section Serpentes","http://ifpni.org/infragenus.htm?id=CA16BED9-D718-4771-9912-E95080196E06"
"67","Subgenus Sparsistomites","http://ifpni.org/infragenus.htm?id=62EAEB64-BE5B-4FF4-9737-F6F92C1DE976"
"68","Subgenus Dunstania","http://ifpni.org/infragenus.htm?id=C9494BA2-1879-4E37-91AB-533D83DFE58D"
"69","Section Chondrophyllum","http://ifpni.org/infragenus.htm?id=0AD60514-0A95-1159-7694-93CF3D737138"
"70","Section Ettingshausenia","http://ifpni.org/infragenus.htm?id=BD576FF3-3A60-A889-4AF6-6FCFE2586C25"
"71","Subgenus Ctenidiopsis","http://ifpni.org/infragenus.htm?id=17B1E059-5AD3-2928-0CFD-AC1628F2E2F8"
"72","Unranked Cupressinium","http://ifpni.org/infragenus.htm?id=629D29EE-2CCD-4AE3-A44A-DD8A3D664FF8"
"73","Unranked Juniperinium","http://ifpni.org/infragenus.htm?id=64E3840E-B9FA-49B5-B685-9240BB71F8A4"
"74","Unranked Sequoinium","http://ifpni.org/infragenus.htm?id=F24E5987-8FEC-4DB2-99D1-5C2BEFEE256A"
"75","Unranked Taxodinium","http://ifpni.org/infragenus.htm?id=221D8255-0D25-4D65-AE6C-334F482F799B"
"76","Unranked Thuinium","http://ifpni.org/infragenus.htm?id=3886DB67-3936-4608-AF0A-3AE35C0D6AEA"
"77","Subgenus Leiocycadeospermum","http://ifpni.org/infragenus.htm?id=2A1AAC9A-CA45-C379-A190-12692B3FD7FC"
"78","Subgenus Pleurocycadeospermum","http://ifpni.org/infragenus.htm?id=05875052-91F1-A0CC-763F-CE3893FDFAB8"
"79","Subgenus Mantellia","http://ifpni.org/infragenus.htm?id=F5E93375-8ABE-4A2E-AE5D-13F3B4A5BEBC"
"80","Subgenus Eury-Cycadolepis","http://ifpni.org/infragenus.htm?id=76FF0B1D-96E1-48DC-8F00-78CF93F3CBDF"
"81","Section Adianthoides","http://ifpni.org/infragenus.htm?id=D089E03B-0FC9-6E23-8CD1-F2F4BC32FB78"
