"Name","URL"
"Abies intermedia","http://ifpni.org/species.htm?id=00DB2FE8-9A9F-3787-5B7B-66A93C7BA6F7"
"Abies lanceolata","http://ifpni.org/species.htm?id=ED0D2349-C57C-4CEA-1A3A-551DF168A52C"
"Abies lapidea","http://ifpni.org/species.htm?id=12F6F4FF-148A-1583-CEAA-EBDA8F72A726"
"Abies laricioides","http://ifpni.org/species.htm?id=8004726A-7C5C-ECFF-6F53-92FC3C4171D2"
"Abies laticarpus","http://ifpni.org/species.htm?id=92817F0E-F685-0F1C-AA83-25B4B49330E0"
"Abies latisquamosa","http://ifpni.org/species.htm?id=350B2649-1DD8-EA0B-1C06-2BC875089EC0"
"Abies leuce","http://ifpni.org/species.htm?id=7C227BD2-898E-4063-B9A6-D85CB6142273"
"Abies linearis","http://ifpni.org/species.htm?id=2BDFC008-3B31-6657-ACB4-0AB4C063192D"
"Abies linkii","http://ifpni.org/species.htm?id=D140DE53-1335-426D-A8C4-C42AF3F9D910"
"Abies loehri","http://ifpni.org/species.htm?id=BEE53F3B-F7D2-4B11-BB2B-EC01CF5C2FA5"
"Abies longirostris","http://ifpni.org/species.htm?id=401B5B15-0073-3776-A607-E06F8420DA92"
"Abies macclurei","http://ifpni.org/species.htm?id=F38C4887-BBD7-A1BB-7463-E06EB2C7D664"
"Abies major","http://ifpni.org/species.htm?id=5F121D39-0479-4629-9563-8C8C9CF1F3C8"
"Abies mariesiformis","http://ifpni.org/species.htm?id=5BD63B67-52A9-4CAD-A74E-350D24513C10"
"Abies medullosa","http://ifpni.org/species.htm?id=15038C9E-7BD5-CDC0-719F-311070851DF2"
"Abies microsperma","http://ifpni.org/species.htm?id=975D7206-90F3-9BB1-962B-5F9CE11EEA3E"
"Abies milleri","http://ifpni.org/species.htm?id=B3742C5F-7A4A-D71C-1E12-6130A3CF4FCE"
"Abies minor","http://ifpni.org/species.htm?id=34A3F332-E4BD-4D75-9432-0FE31746C122"
"Abies minor","http://ifpni.org/species.htm?id=5C942A3D-F401-40C2-9484-B9864169DCDC"
"Abies minor","http://ifpni.org/species.htm?id=9805FB31-1F21-46FA-A221-1527B2A2DDE1"
"Abies mucronata","http://ifpni.org/species.htm?id=3F89C601-8DAC-D15A-A915-858AD4A1103A"
"Abies mucronata","http://ifpni.org/species.htm?id=A39D30BC-74F2-A419-BD2A-24AC8F60407B"
"Abies nevadensis","http://ifpni.org/species.htm?id=180F49F0-8515-48AE-9F9C-DCA3DE658988"
"Abies nevadensis","http://ifpni.org/species.htm?id=69C1BE82-8491-4369-ACB7-52B01A7EC718"
"Abies nobui-suzukii","http://ifpni.org/species.htm?id=6E86D9D1-CB93-43CE-ABBD-0B96902EC934"
"Abies oblonga","http://ifpni.org/species.htm?id=68BFB7E7-C816-D057-1941-2306889BA83C"
"Abies obtusata","http://ifpni.org/species.htm?id=D80E88AB-994F-13BF-AF8C-FBA8BC6F6617"
"Abies obtusifolia","http://ifpni.org/species.htm?id=436BDC8B-E653-0180-B0B3-0E870200EC05"
"Abies obtusifolia","http://ifpni.org/species.htm?id=FD2C9C11-AB5F-49E3-B688-B20B7D19D297"
"Abies oceanines","http://ifpni.org/species.htm?id=42D073C5-5F33-4226-B17E-1C619AD4852D"
"Abies omalii","http://ifpni.org/species.htm?id=EBCA7661-0B79-F4DA-284F-D72CD6F433FA"
"Abies palaeocenica","http://ifpni.org/species.htm?id=0C161347-ECF4-4BD4-81DC-8A3B18FFD65B"
"Abies palaeostrobus","http://ifpni.org/species.htm?id=47A33C00-EB23-4F75-C253-A1F45064404F"
"Abies parviseminis","http://ifpni.org/species.htm?id=57B19CB2-FE14-9AB1-C65F-F6D04C9A7D63"
"Abies pinsapo","http://ifpni.org/species.htm?id=B4317955-AA36-3238-27C5-5496FC2CBC5B"
"Abies plicata","http://ifpni.org/species.htm?id=F230388E-4F12-49B4-9ED3-49309BB4370C"
"Abies praefirma","http://ifpni.org/species.htm?id=2C436F0C-257F-48F2-9525-4A6B85401E1B"
"Abies protofirma","http://ifpni.org/species.htm?id=2E7E726A-B626-4A97-AC5D-65454ADBD078"
"Abies protofirma","http://ifpni.org/species.htm?id=DDA0D1DE-A8DC-42FD-AD94-03A0FF5D2E09"
"Abies pungens","http://ifpni.org/species.htm?id=665D7B47-6623-21AD-95B6-D30BC22A902F"
"Abies ramesii","http://ifpni.org/species.htm?id=AAB297E2-D14F-5599-E2A9-F2F3FAA8C949"
"Abies reichiana","http://ifpni.org/species.htm?id=584BEF38-AEE6-7415-B376-DA9AA7DEFCE2"
"Abies reichiana","http://ifpni.org/species.htm?id=76EB0F4E-C8EA-4793-8C5D-B5D4A7BB5827"
"Abies resinosa","http://ifpni.org/species.htm?id=C15F0D01-3791-0CBA-C1C0-06791823FE34"
"Abies retiformis","http://ifpni.org/species.htm?id=B0CBE0ED-182B-35A2-64D4-B03BC45DCC43"
"Abies rigida","http://ifpni.org/species.htm?id=BD6B0775-250F-5FA7-F015-C459F9FFCFE8"
"Abies robusta","http://ifpni.org/species.htm?id=39E8702D-FC3E-57BF-27D6-EC9411744200"
"Abies robusta","http://ifpni.org/species.htm?id=B78B6A48-8D1F-1E47-2F80-1FCDEE29CB29"
"Abies rotundata","http://ifpni.org/species.htm?id=297B03D2-12CB-7684-74EF-B142338E1F1F"
"Abies rotundosquamosa","http://ifpni.org/species.htm?id=6ECD88C1-E1EC-75E6-C05A-44793710FFCC"
"Abies sanzugawaensis","http://ifpni.org/species.htm?id=9932CF03-5F61-4744-9075-21912473E4D5"
"Abies saportana","http://ifpni.org/species.htm?id=8148E449-A966-6F24-3FAF-40F53B3EF5F2"
"Abies sclereidea","http://ifpni.org/species.htm?id=7CC7AD7A-C354-4044-ABAE-AC17858D484E"
"Abies setigera","http://ifpni.org/species.htm?id=0FBA4864-C743-418D-B0A9-007CE6E8DC01"
"Abies sibiriciformis","http://ifpni.org/species.htm?id=E84BE699-D661-4C48-8665-78499AA76287"
"Abies sichota-alinensis","http://ifpni.org/species.htm?id=234C6A81-6E55-4BAA-BF49-62DC13132E28"
"Abies simplex","http://ifpni.org/species.htm?id=A3BBF1BD-D35A-425F-81F4-204422BF6914"
"Abies sonomensis","http://ifpni.org/species.htm?id=AABA7A04-6E62-43E1-9568-E815A61382C9"
"Abies steenstrupiana","http://ifpni.org/species.htm?id=36845798-B73E-7085-9AE1-5973B089569C"
"Abies steenstrupiana","http://ifpni.org/species.htm?id=5587AE36-A273-AEDD-5488-B19F31D2176A"
"Abies sternbergii","http://ifpni.org/species.htm?id=E1E4FFE0-1167-4C4C-9496-1CCFCF66B5CF"
"Abies suckeri","http://ifpni.org/species.htm?id=7949B470-2A03-18B1-EFC7-42408DE0F875"
"Abies tigilensis","http://ifpni.org/species.htm?id=012DACAD-AB97-AD11-2E45-7FAC5BFE8058"
"Abies toxiriva","http://ifpni.org/species.htm?id=CBBEF3D7-E05B-4397-841F-02008EEDB7E2"
"Abies ugoensis","http://ifpni.org/species.htm?id=D01D597A-A8B8-4A7A-BF25-56AE1207F35D"
"Abies wredeana","http://ifpni.org/species.htm?id=924CDF34-5CE1-4FC5-8DD4-38EC2062D58C"
"Abies wredeana","http://ifpni.org/species.htm?id=B5EC59BD-9585-5D35-9FA3-45D6425E8224"
"Abiespollenites absolutus","http://ifpni.org/species.htm?id=59A2CF06-3A09-4ACE-8909-DACC373972D5"
"Abiespollenites ananovae","http://ifpni.org/species.htm?id=03BBB45B-8133-4F01-94F3-BB7B25925624"
"Abiespollenites davidianiformis","http://ifpni.org/species.htm?id=1B90678B-C4A4-4E17-8D2D-9398D7C80890"
"Abiespollenites dubius","http://ifpni.org/species.htm?id=1A2DFBFF-975D-4FE6-889F-3F2D4BF7F97F"
"Abiespollenites editus","http://ifpni.org/species.htm?id=57DFC57F-75DB-3073-B8B5-F432147ECC73"
"Abiespollenites editus","http://ifpni.org/species.htm?id=BDCB2C8D-B1C5-4FE3-A2BE-7EE980AAABDE"
"Abiespollenites major","http://ifpni.org/species.htm?id=7A604220-2DFD-4DDE-AC76-AEA2F6C21866"
"Abiespollenites minor","http://ifpni.org/species.htm?id=E5FEF98F-BA39-45A7-9FFB-6272EF982226"
"Abiespollenites protofirmus","http://ifpni.org/species.htm?id=DDDC07C4-3DCE-4C5F-8516-44F4CDE6D6B7"
"Abiespollenites sibiriciformis","http://ifpni.org/species.htm?id=CFC7D8C6-A8C1-4FF0-86D7-725612A71751"
"Abiespollenites surmaensis","http://ifpni.org/species.htm?id=87C79BA7-53D8-EE86-D2F8-26FBDB9D51F1"
"Abietineae-pollenites alatus","http://ifpni.org/species.htm?id=8A55E5F5-CB72-426E-A0A6-0A93D3AB1362"
"Abietineae-pollenites labdacus","http://ifpni.org/species.htm?id=CBD48D8F-1C7B-48E4-A1BE-5AA0E61325F1"
"Abietineae-pollenites microalatus","http://ifpni.org/species.htm?id=5D3B39B6-36B7-42C3-978F-43E0DC146F66"
"Abietineaepollenites aequalis","http://ifpni.org/species.htm?id=7EC0005A-36B3-46F0-B610-C3B6A664261D"
"Abietineaepollenites brenneri","http://ifpni.org/species.htm?id=74E8DDDB-C4F9-4D7A-AAD4-F65159D16B89"
"Abietineaepollenites crassus","http://ifpni.org/species.htm?id=290AF286-905B-41F1-8F59-8FFB38C08821"
"Abietineaepollenites dunrobinensis","http://ifpni.org/species.htm?id=09FD98DB-3CE8-4FF4-B7D6-16FE6D9103B7"
"Abietineaepollenites echinatus","http://ifpni.org/species.htm?id=AC45EE14-63D1-4C52-895A-8B37DCC80FBE"
"Abietineaepollenites gaussenii","http://ifpni.org/species.htm?id=C1263852-3DC1-4A5A-8807-083E6C8A5743"
"Abietineaepollenites grandialatus","http://ifpni.org/species.htm?id=598A4827-828B-400E-A03D-DAFA30E4CA3C"
"Abietineaepollenites microalatus","http://ifpni.org/species.htm?id=0BE3614D-66BD-46D3-9A1B-B0AB250F06FF"
"Abietineaepollenites microalatus","http://ifpni.org/species.htm?id=8F666780-5190-4273-986C-003A918D6AB9"
"Abietineaepollenites microreticulatus","http://ifpni.org/species.htm?id=B1254A3A-038C-4B2C-9501-9983CE59B0B3"
"Abietineaepollenites microsaccus","http://ifpni.org/species.htm?id=6695EE43-BD57-449D-8075-C446417752AD"
"Abietineaepollenites minimus","http://ifpni.org/species.htm?id=793C4FE5-D592-4F23-BDF4-FFD67B81FE37"
"Abietineaepollenites parvus","http://ifpni.org/species.htm?id=652E12F4-C88F-49D9-B524-A122D28F1805"
"Abietineaepollenites protocembra","http://ifpni.org/species.htm?id=F11F31B5-73A6-4B77-A227-C2B7AC0F0AEB"
"Abietineaepollenites sellowiiformis","http://ifpni.org/species.htm?id=3628A112-0F1B-4815-81AB-8FDAC7D82659"
"Abietineaepollenites semicircularis","http://ifpni.org/species.htm?id=8187B27C-6E8D-4CCD-886A-141467FAB888"
"Abietipites antiquus","http://ifpni.org/species.htm?id=07FAE09F-01EE-43C1-9B19-6EA7258240B8"
"Abietites acicularis","http://ifpni.org/species.htm?id=806DAFB7-4826-8670-4C08-18A72060EE45"
"Abietites acutatus","http://ifpni.org/species.htm?id=790421B0-2A6F-98EB-1BD0-1B2DFF31DFCD"
"Abietites anceps","http://ifpni.org/species.htm?id=71BA22C5-01E9-8AA2-C1BE-AB60298C0CC2"
"Abietites angusticarpus","http://ifpni.org/species.htm?id=7E92634D-AFEF-4F37-80D9-E580AEFEBD67"
"Abietites balsamoides","http://ifpni.org/species.htm?id=873285CB-31A7-72A2-68FE-F503821258BA"
"Abietites benstedii","http://ifpni.org/species.htm?id=E98FC592-8BF9-A46B-1F18-8C55D7698E8B"
"Abietites benstedii","http://ifpni.org/species.htm?id=FC2C9554-F264-C01C-F461-161D8C88BBE4"
"Abietites chevalieri","http://ifpni.org/species.htm?id=B548DDEA-43ED-6DAB-754A-F8227ED4600F"
"Abietites claveolatus","http://ifpni.org/species.htm?id=876DBDCC-D394-C7F6-4AC5-755B07E8685F"
"Abietites crassifolius","http://ifpni.org/species.htm?id=26C917FE-943A-C2B5-8978-856DFFA5FCFA"
"Abietites cretaceus","http://ifpni.org/species.htm?id=1988DE9D-7F98-4246-AC38-986FD3C3E3C0"
"Abietites curvifolius","http://ifpni.org/species.htm?id=2341EB08-D672-4B67-9BE1-FDFBFF0A6D30"
"Abietites densifolius","http://ifpni.org/species.htm?id=5DCACE80-F0F1-4A09-AC57-94E8BEF00D2A"
"Abietites dubius","http://ifpni.org/species.htm?id=21B798C7-5D26-4246-A4FA-64C09E735925"
"Abietites dunkeri","http://ifpni.org/species.htm?id=2FD2C86C-710C-D40C-A8F5-D42E249CC112"
