"Name","URL"
"Acanthopanax","http://ifpni.org/genus.htm?id=B926FC53-1017-4EF3-8282-CF3ACCB07C9E"
"Acanthophyllites","http://ifpni.org/genus.htm?id=D7C6FA3A-A0A5-4E8F-9E71-E290E282CE74"
"Acanthophyllum","http://ifpni.org/genus.htm?id=C497EADF-3502-4910-0EBF-B7C5D05832D7"
"Acanthophyton","http://ifpni.org/genus.htm?id=ABD26002-32B0-4526-B180-A7D5A18A219B"
"Acanthopteridium","http://ifpni.org/genus.htm?id=42F3579F-D469-4E4C-9B66-5E2EC7FA2B42"
"Acanthopteris","http://ifpni.org/genus.htm?id=F398F8C7-33F8-45CA-9A00-E185FBFDBF20"
"Acanthorytidodiacrodium","http://ifpni.org/genus.htm?id=85A911BA-9608-4FB2-9B06-2D56B9881813"
"Acanthosphaera","http://ifpni.org/genus.htm?id=808EB07C-B9D7-4CDD-BB7B-24D4086BC3C4"
"Acanthosphaeridium","http://ifpni.org/genus.htm?id=43429997-1572-4E2B-9C03-6058420991B9"
"Acanthosporis","http://ifpni.org/genus.htm?id=659338B9-7B3A-4ECF-976E-31F87DF39FA7"
"Acanthotricolpites","http://ifpni.org/genus.htm?id=2FB27535-D546-47A4-AAFD-B8CA4F98285C"
"Acanthotriletes","http://ifpni.org/genus.htm?id=884782A8-FDBF-48E7-B274-0E8D3F635D90"
"Acanthotriletes","http://ifpni.org/genus.htm?id=D7FABB88-C7E3-4F61-B62A-DCB65FDE8701"
"Acanthotriletes","http://ifpni.org/genus.htm?id=F37E431E-90D0-4067-801D-4A106EC9E6BD"
"Acanthozonotriletes","http://ifpni.org/genus.htm?id=AAEE45A6-4105-451C-BD04-6A77A5892CF1"
"Acanthus","http://ifpni.org/genus.htm?id=BA75E1EE-7A31-4C6D-BE43-5ACCDF65E009"
"Acaulangium","http://ifpni.org/genus.htm?id=CE192692-D294-405E-8401-3137CD9F80C1"
"Accinctisporites","http://ifpni.org/genus.htm?id=D002D4C2-3397-4A39-95D1-8653FACD5CA4"
"Accuratipollis","http://ifpni.org/genus.htm?id=F40D9E08-665F-4173-87A5-EC971A27E7D3"
"Acer","http://ifpni.org/genus.htm?id=29AD2F1D-836D-4559-A505-65B72E8A5F42"
"Acerates","http://ifpni.org/genus.htm?id=1C4845D9-B913-4BEA-9D61-B29C0AC19EAB"
"Acerinium","http://ifpni.org/genus.htm?id=0D1CE890-FF8D-43CD-91DC-004D2E026D8A"
"Aceriphyllum","http://ifpni.org/genus.htm?id=7D1F5DE9-87C9-42E6-B233-B9E630E10E8C"
"Aceripollenites","http://ifpni.org/genus.htm?id=EA8AAF6A-9941-40B5-853A-62F2E57CDF56"
"Aceripollis","http://ifpni.org/genus.htm?id=076D3620-BA0B-4A74-AD59-32A37DDB56D6"
"Acerites","http://ifpni.org/genus.htm?id=D7B5636C-766E-48D1-9A38-DC76FF506638"
"Acerites","http://ifpni.org/genus.htm?id=E58B8174-8C67-4A08-8F4D-DC77611B415A"
"Acerites","http://ifpni.org/genus.htm?id=F5FADCA5-1685-4881-8D54-3A9607CB8BEB"
"Aceroxylon","http://ifpni.org/genus.htm?id=1E4C5E0B-3BCC-8DC8-80BB-E283FFAD0562"
"Aceroxylon","http://ifpni.org/genus.htm?id=34900F27-E7E7-4917-957B-70CCEA0C4121"
"Aceroxylon","http://ifpni.org/genus.htm?id=B3DD453C-82FC-4AFC-B575-3A83DFB0084E"
"Acervulina","http://ifpni.org/genus.htm?id=08742832-CABF-D8AE-8740-D439C949E964"
"Acetabularia","http://ifpni.org/genus.htm?id=E98A0452-2E3C-2DCD-2F6D-3568873C8E0E"
"Acevedoa","http://ifpni.org/genus.htm?id=0E7F7D74-BB94-850B-F0F1-7554AAFE9E60"
"Achaenites","http://ifpni.org/genus.htm?id=128ED0B1-D417-4A88-9017-CD7F3ABD4C02"
"Achaenocarpites","http://ifpni.org/genus.htm?id=6822BEA4-8FA4-4ADB-936A-48AB3E19AB73"
"Achilleodinium","http://ifpni.org/genus.htm?id=F5F9B8E2-1D3C-401D-9470-F1C457B47ECE"
"Achilleum","http://ifpni.org/genus.htm?id=4FED5C34-AE50-1D54-4E1D-76B9FEA9DD52"
"Achlamydocarpon","http://ifpni.org/genus.htm?id=791FB358-FDDC-435D-973E-12D257577583"
"Achlyites","http://ifpni.org/genus.htm?id=0CDFF22E-4206-4F8E-A202-C093B3AE9898"
"Achlyites","http://ifpni.org/genus.htm?id=97FDFCD0-5DD1-485D-BD19-F74140D63EBF"
"Achlys","http://ifpni.org/genus.htm?id=D30DF6EC-972F-D784-F4A7-73FB45350D3B"
