"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Bogutchanthaceae","Family","Maslova N. P. ","Systematics of fossil platanoids and hamamelids [2010/12]","Paleontological Journal","11","1417","2010","[Order] Platanales","[Genus] Bogutchanthus","047EA638-0FCB-46EB-F488-714DBCDA6DCE",NA,"Bogutchantaceae",NA,NA,"44",NA,NA,NA,NA,"Plants with compound staminate and pistillate inflorescences, composed of axis and attached heads. Capitate inflorescence including central core and many radiating flowers. Perianth variously developed or absent. Flower with four stamens (or number of stamens divisible by four). Pollen grains trior pantocolpate. Seed solitary and nonorthotropic."
"Boraginaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"128","1789","[Order] Boraginales",NA,"6AA1B86F-D33B-4080-84EF-99B891AD0B08","Yes","Borragineae","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Boraginales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"244","1819","[Class] Magnoliopsida",NA,"D260605E-B830-4A3D-BEB0-80EFDBBB04E5","Yes","Boragineae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Bornetellaceae","Family","Granier B. Dias-Brito D. Bucur I. I. Tibana P. ","Brasiliporella, a new mid-Cretaceous dasycladacean genus: the earliest record of the tribe Batophoreae [2012/6]","Facies","1","217","2012","[Order] Dasycladales","[Genus] Bornetella","012D399D-32AD-DA28-F665-04C87E1BAF81","Yes",NA,NA,NA,"59",NA,NA,"2013",NA,NA
"Bornetellaceae","Family","von Pia J. ","Neue Studien über die triadischen Siphoneae verticillatae [1912/1]","Beiträge zur Paläontologie und Geologie Österreich-Ungarns und des Orients","25","57","1912","[Order] Dasycladales","[Genus] Bornetella","908857E8-04A3-43F1-B990-4861E6AFC1CC","Yes","Bornetellidae",NA,NA,NA,NA,NA,NA,NA,NA
"Bornetellinae","Subtribe","von Pia J. ","Thallophyta [1927/11]",NA,NA,"84","1927","[Family] Bornetellaceae",NA,"9C2EE451-79BC-45AC-A50A-AB12680F2CE2",NA,NA,"Hirmer M. ","Handbuch der Paläobotanik","1",NA,NA,NA,NA,NA
"Borniaceae","Family","von Post T. E. ","Lexicon generum phanerogamarum [1903/11]",NA,NA,"614","1903","[Order] Calamitales","[Genus] Bornia","BC948595-F7DD-41CB-B312-82412BBF52C9",NA,NA,"von Post T. E. ","Lexicon generum phanerogamarum",NA,"Kuntze O. ",NA,NA,NA,NA
"Bothrodendraceae","Family","Potonié H. ","Lepidophytineae [1901/10]",NA,NA,"739","1901","[Class] Lepidodendropsida","[Genus] Bothrodendron","CD1D489C-0C5E-488A-8378-3A187C69BFA3",NA,NA,"Engler A. Prantl K. A. E. ","Die natürlichen Pflanzenfamilien","Abtheilung IV",NA,NA,NA,"Teil I",NA
"Botomaellaceae","Family","Luchinina V. A. ","Sinezelyonye vodorosli (Cyanobacteria) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","21","1987","[Regnum] Prokaryota","[Genus] Botomaella","5678D0F8-617F-448F-88FB-010A97021E83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botryelleae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","56","1987","[Family] Litanaiaceae","[Genus] Botryella","1ABA34FD-8F28-6CBD-C91F-6D911CCF81A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botryopteridiaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"viii","2001","[Order] Botryopteridiales",NA,"83886185-07E2-4951-8544-4D55175EDE61",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Botryopteridiales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"viii","2001","[Class] Botryopteridiopsida",NA,"91617621-074B-4F52-B332-29120BD8D7B8",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Botryopteridiophyta","Phylum","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"viii","2001","[Superphylum] Pteridophytanae","[Genus] Botryopteridium","3486696C-E013-4BE6-95B3-F7019B5EC39C",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Botryopteridiopsida","Class","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"viii","2001","[Phylum] Botryopteridiophyta","[Genus] Botryopteridium","DED57D70-8727-4320-9CBD-0709190144BA",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Boueineae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","57","1987","[Family] Halimedaceae","[Genus] Boueina","92EC80A2-92B3-6E62-BFEC-80F05C78F93B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boweniaceae","Family",NA,"Not defined (in editing)",NA,NA,"D.W. Stevenson, Amer. J. Bot. 68: 1114. 1981",NA,"[Order] Dioales",NA,"A89EDC11-4C31-AFB8-CF7E-3589A3BBFCE6","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowmanitaceae","Family","Meyen S. V. ","An attempt at a radical improvement of suprageneric taxonomy of fossil plants [1978]","Phyta",NA,"81","1978","[Order] Bowmanitales","[Genus] Bowmanites","E2DB2E87-CAED-40F8-B1AF-56B55E424279",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"Bowmanitales","Order","Meyen S. V. ","An attempt at a radical improvement of suprageneric taxonomy of fossil plants [1978]","Phyta",NA,"84","1978","[Subclass] Bowmanitidae","[Genus] Bowmanites","29869455-892C-4712-84E7-723F6411A7AE",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"Bowmanitidae","Subclass","Meyen S. V. ","Osnovy paleobotaniki [1987/2]",NA,NA,"85, 88","1987","[Class] Sphenophyllopsida",NA,"B6978682-EC70-4B1B-809B-3EAE6D42B253",NA,NA,"Meyen S. V. ","Osnovy paleobotaniki",NA,NA,NA,NA,NA,NA
"Bowmanitopsida","Class","Meyen S. V. ","An attempt at a radical improvement of suprageneric taxonomy of fossil plants [1978]","Phyta",NA,"83","1978","[Phylum] Sphenophyllophyta","[Genus] Bowmanites","E48A8E30-519B-4D89-AF3B-13D472938C11",NA,"Bowmanitatae",NA,NA,"1",NA,NA,NA,NA,NA
"Braarudosphaeraceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Order] Coccolithales",NA,"30F16094-25E4-CEDC-2599-839B923E0B9A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachychareae","Tribe","Grambast L. ","Sur la déhiscence de l'oospore chez Chara vulgaris L. et la systématique de certaines Characeae fossiles [1956/7]","Revue Générale de Botanique","749","335","1956","[Family] Characeae","[Genus] Brachychara","BF3C9705-8F38-463C-BB4D-5E4449525D59",NA,NA,NA,NA,"63",NA,NA,NA,NA,NA
"Brachyphyllaceae","Family","Penny J. S. ","Studies on the conifers of the Magothy flora [1947/6]","American Journal of Botany","5","287","1947","[Order] Araucariales","[Genus] Brachyphyllum","F3708151-93E5-8CB2-D317-A143DC828621",NA,NA,NA,NA,"34","Berry E. W. ",NA,NA,NA,NA
"Brassicaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,NA,"116BC6A6-279A-4E3A-96ED-2307B2441B56","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brevaxones","Turma","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]","Palaeontographica","1-4","69","1953",NA,NA,"BA7EDB16-576C-4FDF-91A2-4506BAB493D8",NA,NA,NA,NA,"94","Pflug H. D. ",NA,NA,NA,NA
"Breyteniaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xvii","2001","[Order] Dictyopteridiales",NA,"0BB85E5E-5390-4B89-B62E-258B52D791A1",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Broeggeriaceae","Family","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","78","1950","[Order] Broeggeriales","[Genus] Broeggeria","06138BEE-D06C-C4FD-ADD6-BFE486FDBEA1",NA,"Bröggeriaceae",NA,NA,"6",NA,NA,NA,NA,NA
"Broeggeriales","Order","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","78","1950","[Unranked] Psygmophyllineae","[Genus] Broeggeria","46DBE536-8612-7C5F-C454-90986E82097B",NA,"Bröggeriales",NA,NA,"6",NA,NA,NA,NA,NA
"Bromeliaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,"[Genus] Bromelia","3949D5B4-978C-42EA-BD16-4F1958AA302C","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryophyta","Phylum","Häckel E. ","The History of Creation: or the development of the Earth and its inhabitants by the action of natural causes [1875/11]",NA,NA,"99","1875",NA,"[Genus] Bryum","601A3E6E-FFBA-45B9-A161-CC44CB776380","Yes",NA,"Häckel E. ","The History of Creation: or the development of the Earth and its inhabitants by the action of natural causes","2","Lankester E. R. ",NA,NA,"1876",NA
"Bryopsida","Class","von Ritgen F. A. M. F. ","Über die Aufeinanderfolge des ersten Auftretens der verschiedenen organischen Gestalten [1828/9]",NA,NA,"65","1828","[Phylum] Bryophyta","[Genus] Bryum","08210624-4F19-4117-18F9-2612CE333405","Yes","Brya","von Ritgen F. A. M. F. ","Über die Aufeinanderfolge des ersten Auftretens der verschiedenen organischen Gestalten",NA,NA,NA,NA,NA,NA
"Buriadiaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,"[Genus] Buriadia","57BFB3B3-188D-9895-92FD-6571AA35C6BD",NA,NA,NA,NA,NA,"Archangelsky S. ",NA,NA,NA,NA
"Burmanymphaceae","Family","Poinar G. O. ","Early Cretaceous protist flagellates (Parabasalia: Hypermastigia: Oxymonada) of cockroaches (Insecta: Blattaria) in Burmese amber [2009/10]","Cretaceous Research","5","1068","2009","[Regnum] Euglenobiota","[Genus] Burmanymphus","10BCD0DF-4AD0-2DD3-97D3-47D0377599BE",NA,"Burmanymphidae",NA,NA,"30",NA,NA,NA,NA,NA
"Burseraceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Order] Burserales","[Genus] Bursera","B252559F-FC61-49B0-B7FE-1842FFA0431A","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burserales","Order",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Class] Magnoliopsida","[Genus] Bursera","D38C00BE-6E93-4DF2-B117-FC0D4A007B2F","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buteoxylales","Order","Taylor T. N. Taylor E. L. ","Biology and Evolution of Fossil Plants [1992/9]",NA,NA,"492","1992","[Class] Moresnetiopsida","[Genus] Buteoxylon","40A30368-DC55-4E3C-A8DA-00ED84DEE47E",NA,"Buteoxylonales","Taylor E. L. Taylor T. N. ","Biology and Evolution of Fossil Plants",NA,NA,NA,NA,"1993",NA
"Butomaceae","Family",NA,"Not defined (in editing)",NA,NA,"Hist. Nat. Pl. 8: 194. 1804",NA,"[Order] Hydrocharitales","[Genus] Butomus","A9A3056E-0DC7-F58D-F099-21A4DE3F1A4A","Yes","Butomi",NA,NA,NA,"de Mirbel C. F. B. ",NA,NA,NA,NA
"Buxaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,"[Genus] Buxus","A57BA755-BDBA-47AC-98C8-63E57B69768B","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabombaceae","Family",NA,"Not defined (in editing)",NA,NA,"A.Rich. in Bory Dict. Class. Hist. Nat. 2:608.1822",NA,"[Order] Nymphaeales","[Genus] Cabomba","55A4C2B5-5F15-4374-B99B-7481F6C6548A","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cactaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"310","1789","[Order] Caryophyllales",NA,"C4632E59-1B43-75E9-5165-E17D54F20E7A","Yes",NA,"de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Caesalpinioideae","Subfamily",NA,"Not defined (in editing)",NA,NA,"Prodr. 2: 473. 1825",NA,"[Family] Fabaceae","[Genus] Caesalpinia","D3BE0EE1-65BC-485B-B4B9-D3662EFF4CF2","Yes",NA,NA,NA,NA,"De Candolle A. P. ",NA,NA,NA,NA
"Calamitaceae","Family","Unger F. ","Abhandlung über die Struktur der Calamiten und ihre Rangordnung im Gewächsreiche [1840/11]","Flora","42","662","1840",NA,NA,"65BBED4C-B2B0-4BA7-B0EA-CEFB35FC98D4",NA,"Calamiteae",NA,NA,"2",NA,NA,"23",NA,NA
"Calamitaceae","Family","Krüger J. F. ","Geschichte der Urwelt [1823/11]",NA,NA,"101, 108","1823","[Class] Calamitopsida","[Genus] Calamites","96EB7C05-30C4-4788-BA12-A13A6E6AD549",NA,"Kalamiten","Krüger J. F. ","Geschichte der Urwelt",NA,NA,"2",NA,NA,NA
"Calamitaceae","Family","Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten [1840/11]",NA,NA,"95","1840","[Order] Calamitales","[Genus] Calamites","FAD0D8A8-C121-EF2F-8651-3A53DE7D42BC",NA,NA,"Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten",NA,NA,NA,NA,NA,NA
"Calamitales","Order","von Eichwald K. ","Flora grauvakkovoj, gornoizvestkovoj i medistoslantsevatoj formatsij Rossii [1854/5]",NA,NA,"128-129","1854","[Order] Calamostachyales","[Genus] Calamites","89F7622A-2304-4ADC-A6FC-157E6FF809EF",NA,"Calamariae","von Eichwald K. ","Paleontologiya Rossii","Drevnij Period",NA,"1",NA,NA,NA
"Calamitidae","Subclass","King W. ","A monograph of the Permian fossils of England [1850/8]","Palaeontographical Society","1(5)","8","1850","[Class] Calamitopsida","[Genus] Calamites","2FFFE31F-D5EF-52EA-B852-A4DC30E1A4D9",NA,"Calamitales",NA,NA,"[3]",NA,NA,NA,NA,NA
"Calamitoideae","Subfamily","Carruthers W. ","On the structure of the fruit of Calamites [1867/12]","Journal of botany, British and Foreign",NA,"355","1867","[Family] Calamitaceae","[Genus] Calamites","8DF84CFE-8156-D329-7798-EF26D077BD7C",NA,"Calamiteae",NA,NA,"5",NA,NA,NA,NA,NA
"Calamitophyta","Phylum","Bessey C. E. ","A synopsis of plant phyla [1907/11-12]","University studies, University of Nebraska","4","319","1907",NA,"[Genus] Calamites","DB20ED45-7A0D-41A2-AE86-F02C4021DB17",NA,"Calamophyta",NA,NA,"7",NA,NA,NA,NA,NA
"Calamitopsida","Class","Endlicher S. L. ","Enchiridion Botanicum [1841/8]",NA,NA,"33","1841","[Phylum] Calamitophyta","[Genus] Calamites","96735229-3A29-46AC-B56C-53A3F1DFB525",NA,"Calamariae","Endlicher S. L. ","Enchiridion Botanicum",NA,NA,NA,NA,NA,NA
"Calamocarpales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"vi","2001",NA,NA,"712099A2-D526-4E98-BD18-96A422F07768",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Calamodendraceae","Family","Grand'Eury F. C. ","Mémoire sur la flore carbonifère du Département de la Loire et du Centre de la France, étudiée aux trois points de vue: botanique, stratigraphique et géognostique. 1e partie [1876/4]","Mémoires présentés par divers savants à l'Académie des Sciences de l'Institut de France","1","282, 314","1876","[Order] Calamostachyales","[Genus] Calamodendron","8921A8D5-3943-4CDB-803D-C44B4A635CDF",NA,"Calamodendreae",NA,NA,"24",NA,NA,NA,NA,NA
"Calamodendreae","Unranked","Nathorst A. G. ","Om floran i Skånes kolförande bildningar I [1886]","Sveriges Geologiska Undersökning","85","121","1886","[Class] Calamitopsida","[Genus] Calamodendron","E33554BC-C0DC-2393-888D-579A2DCF44F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calamodendrées","Unranked","Grand'Eury F. C. ","Flore carbonifère du département de la Loire [1872/8]","Comptes rendus hebdomadaires des séances de l’Académie des Sciences, Paris","7","398","1872",NA,"[Genus] Calamodendron","4B585261-5041-7B97-D038-0B28823EFC7F",NA,NA,NA,NA,"75",NA,NA,NA,NA,NA
"Calamophytaceae","Family","Kräusel R. Weyland H. G. ","Beiträge zur Kenntnis der Devonflora II [1927/6]","Abhandlungen [herausgegeben von] der Senckenbergischen Naturforschenden Gesellschaft","2","141","1927","[Class] Calamophytopsida","[Genus] Calamophyton","36DB553F-2A53-404B-A0EC-47F12FAC2EB3",NA,NA,NA,NA,"40",NA,NA,NA,NA,NA
"Calamophytales","Order","Ogura Y. ","Anatomie der Vegetationsorgane der Pteridophyten [1938/5]",NA,NA,"257","1938","[Class] Calamophytopsida","[Genus] Calamophyton","6A129547-882B-482B-9912-8162E4DB4A37",NA,NA,"Linsbauer K. ","Handbuch der Pflanzenanatomie","Abtheilung II, 7",NA,"2",NA,NA,NA
"Calamophytales","Order","Kräusel R. ","On new Devonian plants [1926/12]","Report of the British Association for the Advancement of Science",NA,"411","1926","[Class] Hyeniopsida","[Genus] Calamophyton","9F8319A6-A810-4985-85ED-B04EB81FC0CA",NA,NA,NA,NA,"94",NA,NA,NA,NA,NA
"Calamophytidae","Subclass","Yakovlev N. N. ","Uchebnik paleontologii [Textbook of Palaeontology] [1932/6]",NA,NA,"417","1932","[Class] Calamophytopsida",NA,"DE0B7AC1-E58A-428F-A1D8-E344BE6E3F11",NA,NA,"Yakovlev N. N. ","Uchebnik paleontologii",NA,"Palibin I. V. ",NA,NA,"4",NA
"Calamophytopsida","Class","Kryshtofovich A. N. ","Kurs Paleobotaniki [1928/11]",NA,NA,"86","1928",NA,NA,"DB668C6A-B6CD-4131-88D6-3813F6D9308D",NA,"Calamophytales","Kryshtofovich A. N. ","Kurs Paleobotaniki",NA,NA,NA,NA,NA,NA
"Calamopityaceae","Family","Scott D. H. ","Studies in fossil botany [1909/6]",NA,NA,"476–477, 482","1909","[Order] Calamopityales","[Genus] Calamopitys","ADD3D496-1B03-4402-BD49-3C6959A0A2EB",NA,"Calamopityeae","Scott D. H. ","Studies in fossil botany","2",NA,NA,NA,"2",NA
"Calamopityales","Order","Němejc F. ","Paleobotanika [1968/7]",NA,NA,"368","1968",NA,NA,"32074930-7B9A-4E4A-BBEB-3341EDB736AC",NA,NA,"Němejc F. ","Paleobotanika","3",NA,NA,NA,NA,NA
"Calamostachyaceae","Family","Meyen S. V. ","An attempt at a radical improvement of suprageneric taxonomy of fossil plants [1978]","Phyta",NA,"81","1978","[Order] Calamostachyales","[Genus] Calamostachys","503DBB70-E08E-4452-B7FE-7290D6655565",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"Calamostachyales","Order","Meyen S. V. ","Osnovy paleobotaniki [1987/2]",NA,NA,"91","1987",NA,NA,"99453823-75F3-4EB7-9342-11A35D8AB854",NA,NA,"Meyen S. V. ","Osnovy paleobotaniki",NA,NA,NA,NA,NA,NA
"Calamoxyleae","Family","Unger F. ","Zur Flora des Cypridinenschiefers [1854/8]","Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften Wien","4","599","1854","[Order] Calamopityales",NA,"B11E8297-5A95-33C0-48D8-1FB77FA47763",NA,NA,NA,NA,"12",NA,NA,"1854",NA,NA
"Calathiopsidaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xii","2001","[Class] Moresnetiopsida","[Genus] Calathiops","FB607F36-040B-48AD-AD4B-9AC1A2250CA3",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Calcicaulineae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","83","1987","[Family] Beresellaceae","[Genus] Calcicaulis","E0CCDA84-B59A-19AC-BB34-4DB01377471F",NA,"Calcicaulisae",NA,NA,NA,NA,NA,NA,NA,NA
"Calcifoliaceae","Family","Vachard D. Cózar P. ","Falsocalcifolium nov. gen. and revision of the tribe Calcifolieae (Mississippian, incertae sedis algae) [2005/12]","Geobios","6","804","2005","[Order] Calcifoliales","[Genus] Calcifolium","EF4062EA-F389-4EB6-9D96-A0C0E0BBD997",NA,NA,NA,NA,"38",NA,NA,NA,NA,NA
"Calcifoliales","Order","Perret M.-F. Vachard D. ","Algues et pseudo-algues des calcaires Serpoukhoviens d'Ardengost (Hautes-Pyrénées) [1977/4-6]","Annales de Paléontologie","2","44","1977","[Class] Rhodymeniophyceae","[Genus] Calcifolium","05E48C5C-0CDB-E9B7-DED1-B2D2E3910141",NA,"Calcifoliida",NA,NA,"63",NA,NA,NA,NA,NA
"Calcifolieae","Tribe","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","60","1987","[Family] Calcifoliaceae","[Genus] Calcifolium","5A5DFC27-1F5D-D24D-180B-B7C142305530",NA,"Calcifoliae",NA,NA,NA,NA,NA,NA,NA,NA
"Calcisphaeridae","Family","Miller S. A. ","North American geology and palaeontology for the use of amateurs, students, and scientists [1889/12]",NA,NA,"151","1889","[Family] Sycidiaceae","[Genus] Calcisphaera","3439524B-4F4A-47D0-83EB-3375049EDA1F",NA,NA,"Miller S. A. ","North American geology and palaeontology for the use of amateurs, students, and scientists",NA,NA,NA,NA,NA,NA
"Callipteridales","Unranked","Chachlov V. A. ","Iskopaemye rasteniya Kuzbassa [1937/6]",NA,NA,"31","1937",NA,"[Genus] Callipteris","0170D183-C5D3-7863-8C74-2951F83FD6D1",NA,NA,"Chachlov V. A. ","Iskopaemye rasteniya Kuzbassa",NA,NA,NA,NA,NA,NA
"Callistophytaceae","Family","Stidd B. M. Hall J. W. ","The natural affinity of the Carboniferous seed, Callospermarion [1970/8]","American Journal of Botany","7","835","1970","[Order] Callistophytales","[Genus] Callistophyton","92A3821D-1E47-46B8-ABCF-02CEC8124E75",NA,NA,NA,NA,"57",NA,NA,NA,NA,NA
"Callistophytales","Order","Rothwell G. W. ","The Callistophytales (Pteridospermopsida): reproductively sophisticated Paleozoic gymnosperms [1981/3]","Review of Palaeobotany and Palynology","1","118","1981","[Class] Pachytestopsida","[Genus] Callistophyton","740B3841-5403-4D1D-B0DC-1ACF0B738B7F",NA,NA,NA,NA,"32",NA,NA,NA,NA,NA
"Calycanthaceae","Family",NA,"Not defined (in editing)",NA,NA,"ad tab. 404 [1]",NA,NA,"[Genus] Calycanthus","9A14EBF4-F099-F059-ABDB-07B7531F49ED","Yes","Calycantheae",NA,NA,NA,"Lindley J. ",NA,NA,NA,NA
"Cambrinaceae","Family","Korde K. B. ","Vodorosli kembrija [1973/11]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"125","1973","[Order] Cambrinales","[Genus] Cambrina","91ED8F11-AC1A-47A5-9437-41BADC46722D",NA,NA,NA,NA,"139",NA,NA,NA,NA,NA
"Cambrinales","Order","Korde K. B. ","Vodorosli kembrija [1973/11]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"121","1973",NA,"[Genus] Cambrina","810CA217-D354-4D25-977B-AA4A257B8172",NA,NA,NA,NA,"139",NA,NA,NA,NA,NA
"Cambroporelleae","Tribe","Korde K. B. ","Vodorosli kembrija jugo-vostochnoj Sibirskoj platformy [1961/7]","Trudy Paleontologicheskogo Instituta Akademii Nauk SSSR",NA,"65","1961",NA,"[Genus] Cambroporella","AFE5FFF6-A327-3048-2736-9B0FB75E4A9A",NA,NA,NA,NA,"89",NA,NA,NA,NA,NA
"Cameratitriletes","Suprasubturma","Neves R. Owens B. ","Some Namurian camerate miospores from the English Pennines [1966]","Pollen et Spores","2","342","1966",NA,NA,"BC6A4111-19A0-4233-8C17-6F4C87D6EE19",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA
"Campanulaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"163","1789",NA,"[Genus] Campanula","29CED326-4D2A-1F1A-4FF5-EC7DDAC7CDA5","Yes",NA,"de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Campanulales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"253","1819","[Class] Magnoliopsida","[Genus] Campanula","859F9CC4-B2D9-C4EE-8E4F-A354ABCC07A1",NA,NA,"von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
"Camptopteridaceae","Family","Halle T. G. ","On the sporangia of some Mesozoic ferns [1921/3]","Arkiv för Botanik","1","19","1921","[Order] Dipteridales","[Genus] Camptopteris","7502EFD8-C3B1-BB07-E59A-CF7DC4407F24",NA,"Camptopteridineae",NA,NA,"17","Nathorst A. G. ",NA,NA,NA,NA
"Camptopteridaceae","Family","Krassilov V. A. ","Kriticheskij obzor sistematiki iskopaemykh paporotnikov SSSR so sporami in situ [1970/7]",NA,NA,"128","1970","[Order] Dipteridales","[Genus] Camptopteris","AAE352E3-F2BA-4C05-BB6F-E12F2666D68D",NA,NA,"Krassilov V. A. Gramm M. N. ","Iskopaemaja fauna i flora Dal'nego Vostoka","1",NA,NA,NA,"1969",NA
"Canellaceae","Family",NA,NA,NA,NA,"Nov. Gen. Sp. Pl. 3: 168, 170. 1832",NA,"[Order] Canellales","[Genus] Canella","FF56A603-1540-943B-0725-CDEE88FCE466","Yes",NA,NA,NA,NA,"von Martius C. ",NA,NA,NA,NA
"Canellales","Order",NA,NA,NA,NA,"Bull. Jard. Bot. État. Brux. 27: 17. 1957",NA,"[Subclass] Magnoliidae",NA,"D185AE47-EDCA-F7B3-31C8-72D768F15280","Yes",NA,NA,NA,NA,"Cronquist A. ",NA,NA,NA,NA
"Cannabaceae","Family","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [1820/7]",NA,NA,"99","1820","[Order] Urticales","[Genus] Cannabis","D3BBC2DD-8BEF-4EB4-AD28-C51667F05469","Yes","Cannabinae","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [Techno-Botanical Dictionary]",NA,NA,NA,NA,NA,NA
"Cannaceae","Family","de Jussieu A. L. ","Genera Plantarum [1789/8]",NA,NA,"62","1789","[Order] Cannales",NA,"7A3C2FE2-AC5E-4C1B-A867-5B0CFC676B07","Yes","Cannae","de Jussieu A. L. ","Genera Plantarum",NA,NA,NA,NA,NA,NA
"Cannales","Order","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin aneb Rostlinář [1819/10]",NA,NA,"269","1819","[Class] Liliopsida",NA,"7655A362-26FA-45D5-90E9-F8D4B21F165B","Yes","Canneae","von Berchtold F. Presl J. S. ","O Přirozenosti rostlin, aneb Rostlinář","Oddělení 1",NA,NA,NA,NA,NA
