"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Actinidiales","Order",NA,"Not defined (in editing)",NA,NA,"Phytologia 74: 174. 1993",NA,"[Class] Magnoliopsida","[Genus] Actinidia","6B48A986-C478-A24D-3DC5-4A38B4149251","Yes",NA,NA,NA,NA,"Reveal J. L. ",NA,NA,NA,NA
"Actiniopteridaceae","Family",NA,"Not defined (in editing)",NA,NA,"Webbia 17: 5. 1962",NA,"[Order] Pteridales",NA,"8016A511-73E4-AA56-BE15-AB0554D7B855","Yes",NA,NA,NA,NA,"Pichi-Sermolli R. E. G. ",NA,NA,NA,NA
"Actiniscaceae","Family",NA,"Not defined (in editing)",NA,NA,"Kieselschal. Bacill.: 130. 1844",NA,"[Order] Actiniscales","[Genus] Actiniscus","FD27EB86-4610-D1DB-6CAC-664AAE844B29",NA,"Actinisceae",NA,NA,NA,"Kützing F. T. ",NA,NA,NA,NA
"Actiniscales","Order",NA,"Not defined (in editing)",NA,NA,"Sournia, Phycologia 23: 346. 1984",NA,"[Phylum] Peridiniophyta","[Genus] Actiniscus","14357F5E-0DB4-6660-9B7C-3AE65A56AAB8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinophycaceae","Family","Vologdin A. G. ","Drevnejshie vodorosli SSSR [Ancient Algae of the USSR] [1962/11]",NA,NA,"533","1962","[Regnum] Prokaryota","[Genus] Actinophycus","BA737F87-F499-95F9-7C0B-EE50761A0981",NA,"Actinophyceae","Vologdin A. G. ","Drevnejshie vodorosli SSSR [Ancient Algae of the USSR]",NA,NA,NA,NA,NA,NA
"Actinostrobaceae","Family",NA,"Not defined (in editing)",NA,NA,"Jahresh.Ver.Vaterl.Naturk.Würrtemb. 53: 163. 1897",NA,"[Order] Actinostrobales","[Genus] Actinostrobus","9E8A3401-B088-6AFC-2E24-5E43D1343EE8","Yes","Actinostrobeae",NA,NA,NA,"von Graner F. ",NA,NA,NA,NA
"Actinostrobales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xx","2001","[Subclass] Cupressidae",NA,"9D02ADEB-B1F0-46D3-9045-04484788D302","Yes",NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Adiantaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Class] Pteridopsida","[Genus] Adiantum","42728DA5-2AB3-447E-A015-38DAE6C92DF7","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantaceites","Tribe","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]",NA,NA,"119","1838","[Phylum] Pteridophyta",NA,"650D8405-CBD4-345C-AEDF-839A76037289",NA,NA,"Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","Presl K. ","7-8",NA,NA,NA
"Adianthaceites","Family","Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten [1840/11]",NA,NA,"96","1840","[Phylum] Pteridophyta",NA,"762B71DF-6CC8-8FFF-74DE-C3401864DE0A",NA,NA,"Braun C. F. W. ","Verzeichniss der in der Kreis-Naturalien-Sammlung zu Bayreuth befindlichen Petrefacten",NA,NA,NA,NA,NA,NA
"Adoxaceae","Family",NA,"Not defined (in editing)",NA,NA,"E. Meyer, Preuss. Pflanzengatt.: 198. 1839",NA,"[Order] Dipsacales","[Genus] Adoxa","564E4720-9B2B-0B9C-F5CB-870B225539EF","Yes","Adoxeae",NA,NA,NA,NA,NA,NA,NA,NA
"Agamaceae","Family","Vologdin A. G. ","Ostatki organizmov iz shungitov dokembrija Karelii [1970/8]","Doklady Akademii Nauk SSSR","5","1165","1970",NA,"[Genus] Agamus","DA4BC4DF-C0D3-43C8-B72D-EA265E45B6C3",NA,"Agamusceae",NA,NA,"193",NA,NA,NA,NA,"Водоросли одноклеточные планктонные с шаровидными клетками, с шероховатой или гладкой поверхностью, лишенные клеточной оболочки. Размножались простым делением."
"Akaniaceae","Family",NA,"Not defined (in editing)",NA,NA,"Stapf, Bull. Misc. Inform. 1912: 380. 1912",NA,"[Order] Sapindales","[Genus] Akania","42602DD0-6077-8F97-74C5-655110AA9446","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akaniales","Order","Doweld A. B. ","Validizatsiya nekotorykh nadrodovykh taksonov dvudolnykh (Rosopsida, seu Magnoliopsida) [2000/10]","Byulleten’ Moskovskogo Obshchestva Ispytatelei Prirody","5","60","2000","[Class] Magnoliopsida","[Genus] Akania","D2BE1E62-8A74-37A1-050B-5DE3C48A9B00",NA,NA,NA,NA,"105",NA,NA,NA,NA,NA
"Alangiaceae","Family",NA,"Not defined (in editing)",NA,NA,"Prodr. 3: 203. 1828",NA,"[Order] Cornales","[Genus] Alangium","FCE90E01-1650-4B74-BFB0-30200A2E8A1F","Yes","Alangieae",NA,NA,NA,"De Candolle A. P. ",NA,NA,NA,NA
"Albertaporelleae","Tribe","Deloffre R. ","Nouvelle taxonomie des algues Dasycladales [1988/6]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","1","173","1988","[Family] Dasycladaceae","[Genus] Albertaporella","B3B6F696-1475-40A3-9E32-5FB6167943AB",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"Albertaporellinae","Subtribe","Güvenç T. ","Dasycladacées métaspondyles du Paléozoïque supérieur et du Trias [1979/12]","Bulletin des Centres de Recherches Exploration-Production Elf-Aquitaine","2","632","1979","[Family] Diploporaceae","[Genus] Albertaporella","11F7D966-9A34-49A9-AB0F-60E12849ED85",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA
"Alethopteridaceae","Family","Lesquereux L. C. ","Description of the coal flora of the Carboniferous Formation in Pennsylvania and throughout the United States [1884/10]","Second Geological Survey of Pennsylvania Report of Progress","3","745","1884","[Order] Pachytestales","[Genus] Alethopteris","980EE486-B8DD-4287-BACA-C1520A748CEE",NA,"Alethopterides",NA,NA,"P",NA,NA,"1884",NA,NA
"Alethopteridales","Order","Kotasowa A. ","Flora karbonu produktywnego w północno-wschodniej cze̜ści Zagłe̜bia Górnośla̜skiego (rejon Da̜browski) [1968/9]","Prace Instytutu Geologicznego",NA,"56","1968","[Class] Pachytestopsida","[Genus] Alethopteris","30ED6E16-FB48-4950-A094-E32E78DDDC59",NA,"Alethopterides",NA,NA,"52",NA,NA,NA,NA,NA
"Alexiaceae","Family","Anderson J. M. Anderson H. M. ","Heyday of the gymnosperms: systematics and biodiversity of the Late Triassic Molteno fructifications [2003/6]","Strelitzia","15","318","2003","[Order] Alexiales","[Genus] Alexia","47F0F365-AACE-4244-98E2-28EF6F70B984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexiales","Order","Anderson J. M. Anderson H. M. ","Heyday of the gymnosperms: systematics and biodiversity of the Late Triassic Molteno fructifications [2003/6]","Strelitzia","15","318","2003",NA,"[Genus] Alexia","DF3EA978-999C-44A4-9346-AF2A492D982D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
